Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,CA,California,Madera,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,7.3,,,6.1,8.5,159410,6039,HLTHOUT,COPD,CrdPrv,COPD,POINT (-119.7498023 37.2098213),1196
2021,CA,California,Alameda,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.5,,,11.7,15.5,1648556,6001,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-121.912488 37.6471385),1141
2021,CA,California,Kern,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.8,,,11.9,15.7,917673,6029,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-118.7295064 35.3466288),1192
2021,CA,California,San Mateo,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.4,,,2.2,2.6,737888,6081,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-122.3715457 37.4146725),1333
2020,CA,California,Siskiyou,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.2,,,29.8,32.6,44118,6093,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-122.5332868 41.5879861),1337
2021,CA,California,Del Norte,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,22.8,,,19.1,26.7,28100,6015,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-123.9809983 41.7499033),1186
2020,CA,California,Shasta,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,65.7,,,61.1,70.1,182139,6089,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-122.0435558 40.7605142),80
2021,CA,California,Solano,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,16.9,,,13.8,20.3,451716,6095,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-121.939594 38.2672255),1338
2021,CA,California,Alpine,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.6,5.7,1235,6003,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-119.7983522 38.6217831),1142
2021,CA,California,Mariposa,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,31.5,,,26.8,36.3,17147,6043,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-119.9117215 37.5743432),75
2020,CA,California,Mariposa,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,67.5,,,62.8,72.3,17147,6043,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-119.9117215 37.5743432),75
2021,CA,California,Colusa,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,26,,,21.3,31.2,21917,6011,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-122.2375629 39.1777385),72
2021,CA,California,Sonoma,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.2,,,2.9,3.6,485887,6097,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-122.9261095 38.5251824),1339
2021,CA,California,Imperial,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,10.2,,,8.6,12.0,179851,6025,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-115.3554001 33.0408143),1190
2020,CA,California,Amador,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,60.8,,,57.7,63.9,41259,6005,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-120.653858 38.4435493),1182
2021,CA,California,El Dorado,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.4,,,2.1,2.7,193221,6017,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-120.5342245 38.7856116),1187
2020,CA,California,Sutter,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,59.9,,,56.9,62.7,99063,6101,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-121.7039397 39.0361898),1438
2021,CA,California,Kern,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,9.8,,,8.5,11.4,917673,6029,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-118.7295064 35.3466288),1192
2020,CA,California,Shasta,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,33.6,,,32.1,35.1,182139,6089,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-122.0435558 40.7605142),80
2021,CA,California,Orange,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,10.1,,,8.7,11.6,3167809,6059,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-117.7772068 33.6756872),1174
2021,CA,California,Mono,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,18,,,14.1,22.3,13247,6051,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-118.8751668 37.9158363),1170
2021,CA,California,Sonoma,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,25.4,,,21.9,29.1,485887,6097,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-122.9261095 38.5251824),1339
2021,CA,California,Amador,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,30.7,,,26.1,35.6,41259,6005,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-120.653858 38.4435493),1182
2020,CA,California,Marin,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.3,,,68.0,76.4,260206,6041,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-122.7463958 38.0513667),1167
2021,CA,California,Santa Barbara,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.5,6.2,446475,6083,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-120.0383645 34.5366774),79
2020,CA,California,Marin,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,72.6,,,69.5,75.4,260206,6041,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-122.7463958 38.0513667),1167
2021,CA,California,Santa Cruz,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,26.7,,,23.1,30.4,267792,6087,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-122.0077889 37.0123466),1335
2021,CA,California,Stanislaus,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,8.4,,,7.3,9.7,552999,6099,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-121.0028311 37.5623162),1340
2020,CA,California,Shasta,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,82.3,,,79.8,84.5,182139,6089,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-122.0435558 40.7605142),80
2021,CA,California,Solano,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.5,,,3.1,3.9,451716,6095,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-121.939594 38.2672255),1338
2021,CA,California,Plumas,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,11.3,,,9.5,13.2,19915,6063,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-120.8243709 39.9922953),1176
2021,CA,California,San Benito,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,17.4,,,14.1,21.1,66677,6069,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-121.0858108 36.6116507),1178
2021,CA,California,Shasta,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,13.5,,,11.5,15.7,182139,6089,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-122.0435558 40.7605142),80
2021,CA,California,Siskiyou,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,13.8,,,11.9,16.1,44118,6093,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-122.5332868 41.5879861),1337
2021,CA,California,Calaveras,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,14.3,,,12.1,16.8,46221,6009,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-120.5541065 38.1910682),1184
2020,CA,California,Alpine,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,67.7,,,64.4,70.8,1235,6003,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-119.7983522 38.6217831),1142
2020,CA,California,Sierra,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,40.5,,,32.6,48.7,3283,6091,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-120.5219926 39.5769252),1336
2021,CA,California,Fresno,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.6,,,30.4,42.9,1013581,6019,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-119.6550193 36.7610058),1188
2021,CA,California,San Diego,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,18.1,,,15.6,20.9,3286069,6073,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-116.7761174 33.0236041),1179
2021,CA,California,San Diego,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,9.8,,,8.5,11.2,3286069,6073,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-116.7761174 33.0236041),1179
2021,CA,California,Kings,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,32.2,,,27.8,36.9,153443,6031,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-119.8155301 36.072478),74
2020,CA,California,Tulare,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,78.6,,,76.2,80.9,477054,6107,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-118.7810551 36.2288339),81
2021,CA,California,Mendocino,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.3,7.9,91305,6045,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-123.4428811 39.4323876),1168
2021,CA,California,Plumas,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.1,7.2,19915,6063,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-120.8243709 39.9922953),1176
2021,CA,California,Imperial,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.4,,,5.6,7.2,179851,6025,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-115.3554001 33.0408143),1190
2020,CA,California,San Benito,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,69.5,,,65.8,73.0,66677,6069,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-121.0858108 36.6116507),1178
2021,CA,California,San Benito,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,6.8,,,5.8,7.9,66677,6069,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-121.0858108 36.6116507),1178
2020,CA,California,Santa Clara,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,34.6,,,29.1,39.1,1885508,6085,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-121.6895401 37.2216142),1334
2021,CA,California,San Francisco,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.4,,,4.7,6.1,815201,6075,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-123.0322294 37.7272391),
2021,CA,California,Trinity,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,42.5,,,36.9,48.1,16060,6105,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-123.114666 40.6478582),1390
2021,CA,California,Sacramento,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,27.5,,,24.2,31.1,1588921,6067,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-121.3443291 38.4501363),77
2021,CA,California,Contra Costa,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,9.5,,,7.5,11.8,1161413,6013,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-121.9515431 37.919479),1185
2021,CA,California,Sierra,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,30.5,,,25.8,34.9,3283,6091,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-120.5219926 39.5769252),1336
2021,CA,California,Santa Cruz,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.1,,,12.9,17.4,267792,6087,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-122.0077889 37.0123466),1335
2021,CA,California,San Diego,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.9,,,20.2,28.0,3286069,6073,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-116.7761174 33.0236041),1179
2021,CA,California,Orange,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.1,,,13.0,17.5,3167809,6059,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-117.7772068 33.6756872),1174
2021,CA,California,Humboldt,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.7,,,18.8,27.0,136310,6023,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-123.9261757 40.7066554),1189
2020,CA,California,Del Norte,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,35,,,33.7,36.1,28100,6015,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-123.9809983 41.7499033),1186
2020,CA,California,Tehama,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,28.5,,,22.9,34.9,65498,6103,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-122.2322737 40.1261573),1389
2021,CA,California,Lake,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3,,,2.7,3.3,68766,6033,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-122.7467569 39.0948019),1193
2021,CA,California,San Diego,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.7,,,4.1,5.3,3286069,6073,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-116.7761174 33.0236041),1179
2021,CA,California,Inyo,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.9,,,4.2,5.6,18970,6027,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-117.4042092 36.5621604),1191
2020,CA,California,Imperial,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,25.2,,,19.7,30.8,179851,6025,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-115.3554001 33.0408143),1190
2021,CA,California,Merced,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,18.3,,,14.2,22.6,286461,6047,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-120.7228019 37.1948063),1169
2021,CA,California,Alpine,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,21.3,,,19.5,23.1,1235,6003,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-119.7983522 38.6217831),1142
2021,CA,California,San Francisco,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,8.4,,,7.0,9.9,815201,6075,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-123.0322294 37.7272391),
2021,CA,California,San Luis Obispo,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,10.6,,,8.9,12.5,283159,6079,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-120.4488974 35.3881891),1332
2020,CA,California,Kings,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,56,,,52.7,59.2,153443,6031,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-119.8155301 36.072478),74
2020,CA,California,Napa,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,30.4,,,29.0,31.6,136207,6055,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-122.3259045 38.5070999),1172
2020,CA,California,San Luis Obispo,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,8.2,,,5.2,12.2,283159,6079,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-120.4488974 35.3881891),1332
2021,CA,California,Alpine,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,10.9,,,9.6,12.4,1235,6003,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-119.7983522 38.6217831),1142
2020,CA,California,Mendocino,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,29.2,,,22.4,36.4,91305,6045,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-123.4428811 39.4323876),1168
2021,CA,California,Placer,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.7,,,11.8,15.9,412300,6061,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-120.7227181 39.0620323),1175
2021,CA,California,Merced,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33,,,25.8,40.8,286461,6047,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.7228019 37.1948063),1169
2021,CA,California,Modoc,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,60,,,53.9,66.2,8661,6049,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-120.7183704 41.5929185),76
2021,CA,California,Napa,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,4.9,6.4,136207,6055,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-122.3259045 38.5070999),1172
2021,CA,California,Calaveras,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,41.1,,,36.0,46.2,46221,6009,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-120.5541065 38.1910682),1184
2021,CA,California,Butte,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31,,,23.9,38.5,208309,6007,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.6032086 39.6653362),1183
2021,CA,California,Inyo,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,11.2,,,9.4,13.0,18970,6027,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-117.4042092 36.5621604),1191
2021,CA,California,Kings,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.8,,,4.3,5.4,153443,6031,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-119.8155301 36.072478),74
2021,CA,California,Sierra,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,16.7,,,14.4,19.0,3283,6091,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-120.5219926 39.5769252),1336
2021,CA,California,Tulare,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,19.3,,,15.0,24.4,477054,6107,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-118.7810551 36.2288339),81
2021,CA,California,Siskiyou,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,17.2,,,14.0,20.7,44118,6093,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-122.5332868 41.5879861),1337
2020,CA,California,Plumas,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,68.4,,,63.2,73.1,19915,6063,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-120.8243709 39.9922953),1176
2021,CA,California,San Bernardino,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.2,,,17.6,23.2,2194710,6071,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-116.1815707 34.8566615),78
2020,CA,California,Fresno,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,79.8,,,77.8,81.8,1013581,6019,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-119.6550193 36.7610058),1188
2021,CA,California,Lake,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.6,,,7.7,9.5,68766,6033,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-122.7467569 39.0948019),1193
2021,CA,California,Mono,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,12.1,,,10.0,14.3,13247,6051,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-118.8751668 37.9158363),1170
2021,CA,California,Fresno,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,21.4,,,18.5,24.6,1013581,6019,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-119.6550193 36.7610058),1188
2021,CA,California,Orange,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,16.4,,,13.8,19.2,3167809,6059,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-117.7772068 33.6756872),1174
2021,CA,California,Tehama,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,54.9,,,49.5,60.0,65498,6103,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-122.2322737 40.1261573),1389
2020,CA,California,El Dorado,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,36.9,,,30.1,43.9,193221,6017,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-120.5342245 38.7856116),1187
2021,CA,California,Sacramento,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,18.2,,,15.3,21.2,1588921,6067,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-121.3443291 38.4501363),77
2021,CA,California,Del Norte,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,11.1,,,9.5,12.9,28100,6015,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-123.9809983 41.7499033),1186
2020,CA,California,Kern,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,54.3,,,50.7,57.5,917673,6029,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-118.7295064 35.3466288),1192
2021,CA,California,Humboldt,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,62.4,,,56.6,68.1,136310,6023,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-123.9261757 40.7066554),1189
2021,CA,California,San Joaquin,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,9.7,,,8.5,10.9,789410,6077,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-121.272244 37.9349815),1181
2021,CA,California,Calaveras,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.6,,,4.0,5.3,46221,6009,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-120.5541065 38.1910682),1184
2021,CA,California,San Mateo,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,24.3,,,21.0,27.8,737888,6081,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-122.3715457 37.4146725),1333
2021,CA,California,Tulare,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.3,6.9,477054,6107,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-118.7810551 36.2288339),81
2021,CA,California,Contra Costa,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.3,,,3.8,4.9,1161413,6013,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-121.9515431 37.919479),1185
2020,CA,California,Alameda,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,63.2,,,60.6,65.9,1648556,6001,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-121.912488 37.6471385),1141
2021,CA,California,Monterey,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.9,,,4.9,7.0,437325,6053,HLTHOUT,COPD,CrdPrv,COPD,POINT (-121.3155781 36.2401044),1171
2021,CA,California,Colusa,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,82,,,78.4,85.0,21917,6011,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-122.2375629 39.1777385),72
2021,CA,California,Lassen,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,17,,,14.8,19.5,33159,6035,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-120.6212225 40.7152866),1194
2021,CA,California,Amador,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.1,,,4.5,5.9,41259,6005,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-120.653858 38.4435493),1182
